app_name,timestep,reward,cpu-cluster1,cpu-cluster2,cpu-cluster3,noPod-cluster1,noPod-cluster2,noPod-cluster3latency,latency_violation,datetime
firewall,35,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:36:55'}
encrypt,35,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:36:55'}
firewall,36,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:36:57'}
encrypt,36,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:36:57'}
firewall,37,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:00'}
encrypt,37,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:00'}
firewall,38,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:03'}
encrypt,38,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:03'}
firewall,39,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:05'}
encrypt,39,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:05'}
firewall,40,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:08'}
encrypt,40,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:08'}
firewall,41,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:11'}
encrypt,41,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:11'}
firewall,42,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:13'}
encrypt,42,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:13'}
firewall,43,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:16'}
encrypt,43,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:16'}
firewall,44,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:19'}
encrypt,44,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:19'}
firewall,45,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:24'}
encrypt,45,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:24'}
firewall,46,0,0.0,0.0,0.0,0,0,1,30,1,{'datetime': '21/12/2022 05:37:26'}
encrypt,46,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:26'}
firewall,47,0,0.0,0.0,0.0,0,0,1,30,1,{'datetime': '21/12/2022 05:37:29'}
encrypt,47,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:29'}
firewall,48,0,0.0,0.0,0.0,0,0,1,30,1,{'datetime': '21/12/2022 05:37:32'}
encrypt,48,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:32'}
firewall,49,0,0.0,0.0,0.0,0,0,1,30,1,{'datetime': '21/12/2022 05:37:35'}
encrypt,49,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:35'}
firewall,50,0,0.0,0.0,0.0,0,0,1,30,1,{'datetime': '21/12/2022 05:37:37'}
encrypt,50,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:37'}
firewall,51,0,0.0,0.0,0.0,0,0,1,30,1,{'datetime': '21/12/2022 05:37:40'}
encrypt,51,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:40'}
firewall,52,0,0.0,0.0,0.0,0,0,1,30,1,{'datetime': '21/12/2022 05:37:43'}
encrypt,52,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:43'}
firewall,53,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:46'}
encrypt,53,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:37:46'}
firewall,54,0,0.0,0.0052,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:49'}
encrypt,54,0,0.0,0.0,0.0,1,0,0,30,1,{'datetime': '21/12/2022 05:37:49'}
firewall,55,0,0.0,0.0052,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:51'}
encrypt,55,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:37:51'}
firewall,56,0,0.0,0.0052,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:54'}
encrypt,56,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:37:54'}
firewall,57,0,0.0,0.0052,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:37:57'}
encrypt,57,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:37:57'}
firewall,58,0,0.0,0.0052,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:00'}
encrypt,58,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:00'}
firewall,59,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:03'}
encrypt,59,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:03'}
firewall,60,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:08'}
encrypt,60,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:08'}
firewall,61,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:11'}
encrypt,61,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:11'}
firewall,62,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:14'}
encrypt,62,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:14'}
firewall,63,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:16'}
encrypt,63,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:16'}
firewall,64,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:19'}
encrypt,64,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:19'}
firewall,65,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:22'}
encrypt,65,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:22'}
firewall,66,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:25'}
encrypt,66,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:25'}
firewall,67,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:27'}
encrypt,67,0,0.0,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:38:27'}
firewall,68,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:30'}
encrypt,68,0,0.0,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:38:30'}
firewall,69,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:33'}
encrypt,69,0,0.0,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:38:33'}
firewall,70,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:36'}
encrypt,70,0,0.0,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:38:36'}
firewall,71,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:39'}
encrypt,71,0,0.0,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:38:39'}
firewall,72,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:41'}
encrypt,72,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:38:41'}
firewall,73,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:44'}
encrypt,73,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:44'}
firewall,74,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:46'}
encrypt,74,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:46'}
firewall,75,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:52'}
encrypt,75,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:52'}
firewall,76,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:55'}
encrypt,76,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:55'}
firewall,77,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:38:57'}
encrypt,77,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:38:57'}
firewall,78,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:00'}
encrypt,78,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:39:00'}
firewall,79,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:03'}
encrypt,79,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:39:03'}
firewall,80,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:06'}
encrypt,80,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:39:06'}
firewall,81,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:09'}
encrypt,81,0,0.0,0.0,0.0,0,0,0,30,1,{'datetime': '21/12/2022 05:39:09'}
firewall,82,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:12'}
encrypt,82,0,0.004,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:39:12'}
firewall,83,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:14'}
encrypt,83,0,0.004,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:39:14'}
firewall,84,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:17'}
encrypt,84,0,0.004,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:39:17'}
firewall,85,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:20'}
encrypt,85,0,0.004,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:39:20'}
firewall,86,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:23'}
encrypt,86,0,0.004,0.0,0.0,2,0,0,30,1,{'datetime': '21/12/2022 05:39:23'}
firewall,87,0,0.0,0.0,0.0,0,5,1,29.016065377018492,1,{'datetime': '21/12/2022 05:39:31'}
encrypt,87,0,0.0008,0.0,0.0,5,0,0,29.016065377018492,1,{'datetime': '21/12/2022 05:39:31'}
firewall,88,0,0.0,0.0,0.0,0,5,1,23.824682963200363,1,{'datetime': '21/12/2022 05:39:39'}
encrypt,88,0,0.0008,0.0,0.0,5,0,0,23.824682963200363,1,{'datetime': '21/12/2022 05:39:39'}
firewall,89,0,0.0,0.0,0.0,0,5,1,28.38407493626734,1,{'datetime': '21/12/2022 05:39:47'}
encrypt,89,0,0.0,0.0,0.0,5,0,0,28.38407493626734,1,{'datetime': '21/12/2022 05:39:47'}
firewall,90,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:52'}
encrypt,90,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:39:52'}
firewall,91,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:55'}
encrypt,91,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:39:55'}
firewall,92,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:39:57'}
encrypt,92,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:39:57'}
firewall,93,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:40:00'}
encrypt,93,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:40:00'}
firewall,94,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:40:03'}
encrypt,94,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:40:03'}
firewall,95,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:40:06'}
encrypt,95,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:40:06'}
firewall,96,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:40:08'}
encrypt,96,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:40:08'}
firewall,0,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:41:44'}
encrypt,0,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:41:44'}
firewall,1,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:41:51'}
encrypt,1,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:41:51'}
firewall,2,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:41:58'}
encrypt,2,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:41:58'}
firewall,3,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:42:05'}
encrypt,3,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:42:05'}
firewall,4,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:42:11'}
encrypt,4,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:42:11'}
firewall,5,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:42:18'}
encrypt,5,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:42:18'}
firewall,6,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:42:25'}
encrypt,6,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:42:25'}
firewall,7,0,0.0,0.0,0.0,0,5,1,30,1,{'datetime': '21/12/2022 05:42:32'}
encrypt,7,0,0.0,0.0,0.0,5,0,0,30,1,{'datetime': '21/12/2022 05:42:32'}
