current_app_name,timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
firewall,1,69,2,71,25,FALSE,1,0,0,0.933903933,60,{'datetime': '20/06/2022 11:52:39'}
firewall,2,71,2,106,25,FALSE,1,0,0,0.968337536,80,{'datetime': '20/06/2022 11:53:44'}
firewall,3,106,1,106,25,FALSE,1,0,0,0.971513152,80,{'datetime': '20/06/2022 11:54:49'}
firewall,4,106,1,106,25,FALSE,1,0,0,1.005977631,80,{'datetime': '20/06/2022 11:55:55'}
firewall,5,106,1,106,25,FALSE,1,0,0,0.917104721,80,{'datetime': '20/06/2022 11:57:00'}
firewall,6,106,2,141,25,FALSE,1,0,0,0.860365272,100,{'datetime': '20/06/2022 11:58:04'}
firewall,7,141,1,141,25,FALSE,1,0,0,0.994673133,100,{'datetime': '20/06/2022 11:59:09'}
firewall,8,141,0,632,25,FALSE,1,77,0,1.054757476,80,{'datetime': '20/06/2022 12:00:15'}
firewall,9,632,2,141,25,FALSE,1,0,0,0.962535977,100,{'datetime': '20/06/2022 12:01:21'}
firewall,10,142,0,988,20.6770412,FALSE,2,111,0,0.94463408,80,{'datetime': '20/06/2022 12:02:30'}
firewall,11,988,0,73,25,FALSE,1,0,0,1.726985097,60,{'datetime': '20/06/2022 12:03:37'}
firewall,12,73,1,778,20.76316701,FALSE,2,100,0,0.89389348,60,{'datetime': '20/06/2022 12:04:43'}
firewall,13,778,0,37,25,FALSE,1,0,0,1.413519979,40,{'datetime': '20/06/2022 12:05:49'}
firewall,14,37,2,79,20.53224672,FALSE,2,0,0,1.033436298,60,{'datetime': '20/06/2022 12:06:57'}
firewall,15,79,2,983,25,FALSE,1,111,0,1.957263947,80,{'datetime': '20/06/2022 12:08:04'}
firewall,16,983,0,78,20.68767869,FALSE,2,0,0,0.938286066,60,{'datetime': '20/06/2022 12:09:12'}
firewall,17,78,2,990,19.7812532,FALSE,2,111,0,1.585227847,80,{'datetime': '20/06/2022 12:10:18'}
firewall,18,990,0,75,20.00001462,FALSE,1,0,1,3.262629867,60,{'datetime': '20/06/2022 12:11:28'}
firewall,19,75,2,989,20.43469458,FALSE,2,116,0,1.095937371,80,{'datetime': '20/06/2022 12:12:36'}
firewall,20,989,0,250,20.00109058,FALSE,1,22,1,3.038385272,60,{'datetime': '20/06/2022 12:13:46'}
firewall,21,250,0,43,18.49574558,FALSE,3,0,0,0.920337081,40,{'datetime': '20/06/2022 12:14:57'}
firewall,22,43,1,741,20,FALSE,1,94,1,5.076188326,40,{'datetime': '20/06/2022 12:16:11'}
firewall,23,741,0,16,13.86938905,FALSE,5,0,0,1.031041026,20,{'datetime': '20/06/2022 12:17:19'}
firewall,24,16,1,729,2.83311044,FALSE,10,81,0,0.984642029,20,{'datetime': '20/06/2022 12:18:24'}
firewall,25,729,0,730,0,FALSE,10,81,0,1.047740221,20,{'datetime': '20/06/2022 12:18:28'}
firewall,26,730,0,379,0,FALSE,10,41,0,0.924147367,20,{'datetime': '20/06/2022 12:18:30'}
firewall,27,379,2,50,14.03744889,FALSE,5,0,0,0.928522706,40,{'datetime': '20/06/2022 12:19:35'}
firewall,28,50,0,204,2.78294532,FALSE,10,39,0,1.015608668,20,{'datetime': '20/06/2022 12:20:40'}
firewall,29,204,1,541,13.74319677,FALSE,5,68,0,1.112213016,20,{'datetime': '20/06/2022 12:21:46'}
firewall,30,541,0,540,0,FALSE,5,68,0,0.875563145,20,{'datetime': '20/06/2022 12:21:48'}
firewall,31,540,1,29,2.807440545,FALSE,10,19,0,1.000418782,20,{'datetime': '20/06/2022 12:22:53'}
firewall,32,29,1,555,7.123308446,FALSE,8,75,0,1.081678152,20,{'datetime': '20/06/2022 12:23:58'}
firewall,33,555,2,65,2.677079517,FALSE,10,0,0,1.082833171,40,{'datetime': '20/06/2022 12:25:04'}
firewall,34,65,2,800,4.767496517,FALSE,9,97,0,1.170345783,60,{'datetime': '20/06/2022 12:26:10'}
firewall,35,800,0,58,11.53435509,FALSE,6,0,0,1.103423715,40,{'datetime': '20/06/2022 12:27:16'}
firewall,36,58,0,555,2.680146972,FALSE,10,71,0,1.080848217,20,{'datetime': '20/06/2022 12:28:22'}
firewall,37,555,2,50,14.06948692,FALSE,5,0,0,0.909649014,40,{'datetime': '20/06/2022 12:29:27'}
firewall,38,50,0,204,2.912346288,FALSE,10,39,0,0.936830044,20,{'datetime': '20/06/2022 12:30:33'}
firewall,39,204,1,190,14.01202959,FALSE,5,25,0,0.943644881,20,{'datetime': '20/06/2022 12:31:38'}
firewall,40,191,0,190,0,FALSE,5,25,0,0.925112009,20,{'datetime': '20/06/2022 12:31:44'}
firewall,41,190,1,30,2.74325233,FALSE,10,7,0,1.040509105,20,{'datetime': '20/06/2022 12:32:49'}
firewall,42,30,0,29,0,FALSE,10,7,0,0.900085449,20,{'datetime': '20/06/2022 12:32:52'}
firewall,43,29,2,225,13.91258487,FALSE,5,25,0,1.004106641,40,{'datetime': '20/06/2022 12:33:56'}
firewall,44,225,0,22,11.76816591,FALSE,6,0,0,0.956624389,20,{'datetime': '20/06/2022 12:35:02'}
firewall,45,22,2,919,19.83542141,FALSE,2,111,0,1.538985848,40,{'datetime': '20/06/2022 12:36:09'}
firewall,46,919,0,22,9.609752956,FALSE,7,0,0,0.918630481,20,{'datetime': '20/06/2022 12:37:14'}
firewall,47,22,2,750,16.23500486,FALSE,4,80,0,0.943194985,40,{'datetime': '20/06/2022 12:38:19'}
firewall,48,750,0,10,19.75558718,FALSE,2,2,0,1.607576609,20,{'datetime': '20/06/2022 12:39:26'}
firewall,49,10,0,9,0,FALSE,2,2,0,1.493935585,20,{'datetime': '20/06/2022 12:39:30'}
firewall,50,9,0,10,0,FALSE,2,2,0,1.645873308,20,{'datetime': '20/06/2022 12:39:33'}
firewall,51,10,0,9,0,FALSE,2,2,0,1.50079453,20,{'datetime': '20/06/2022 12:39:36'}
firewall,52,9,1,23,11.58791788,FALSE,6,5,0,1.068679452,20,{'datetime': '20/06/2022 12:40:42'}
firewall,53,23,0,22,0,FALSE,6,5,0,0.979922056,20,{'datetime': '20/06/2022 12:40:45'}
firewall,54,22,2,919,18.18177653,FALSE,3,111,0,1.11607945,40,{'datetime': '20/06/2022 12:41:50'}
firewall,55,205,2,764,2.929221811,FALSE,10,95,0,0.926815271,40,{'datetime': '20/06/2022 12:50:13'}
firewall,56,764,2,436,13.60613318,FALSE,5,55,0,1.204909921,60,{'datetime': '20/06/2022 12:51:49'}
firewall,57,436,2,107,25,FALSE,1,0,0,1.358517289,80,{'datetime': '20/06/2022 12:53:25'}
firewall,58,107,1,115,19.33058721,FALSE,2,0,0,2.026911616,80,{'datetime': '20/06/2022 12:55:05'}
firewall,59,115,0,78,18.48472539,FALSE,3,0,0,0.926846027,60,{'datetime': '20/06/2022 12:56:43'}
firewall,60,78,1,785,16.2938322,FALSE,4,96,0,0.908405542,60,{'datetime': '20/06/2022 12:58:17'}
firewall,61,785,1,960,16.31030243,FALSE,4,111,0,0.898789167,60,{'datetime': '20/06/2022 12:59:55'}
firewall,62,960,2,634,25,FALSE,1,72,0,2.132314563,80,{'datetime': '20/06/2022 13:01:32'}
firewall,63,634,2,144,25,FALSE,1,0,0,2.098744392,100,{'datetime': '20/06/2022 13:03:13'}
firewall,64,144,2,144,0,FALSE,1,0,0,2.503053188,100,{'datetime': '20/06/2022 13:03:19'}
firewall,65,144,2,669,0,FALSE,1,66,0,2.388346672,100,{'datetime': '20/06/2022 13:03:24'}
firewall,66,669,0,114,19.95567908,FALSE,2,0,0,1.440532088,80,{'datetime': '20/06/2022 13:05:04'}
firewall,67,114,1,113,20.60290029,FALSE,2,0,0,0.989536047,80,{'datetime': '20/06/2022 13:06:43'}
firewall,68,113,1,989,20.37621324,FALSE,2,116,0,1.134515882,80,{'datetime': '20/06/2022 13:08:18'}
firewall,69,989,0,953,20.65466745,FALSE,2,111,0,0.958062172,60,{'datetime': '20/06/2022 13:09:54'}
firewall,70,953,0,564,25,FALSE,1,61,0,2.07333529,40,{'datetime': '20/06/2022 13:11:33'}
firewall,71,564,2,74,25,FALSE,1,0,0,2.248284459,60,{'datetime': '20/06/2022 13:13:13'}
firewall,72,74,2,116,19.25437657,FALSE,2,0,0,2.114140749,80,{'datetime': '20/06/2022 13:14:53'}
firewall,73,116,1,288,20.69641331,FALSE,2,36,0,0.933090925,80,{'datetime': '20/06/2022 13:16:30'}
firewall,74,288,2,1023,20.70238123,FALSE,2,111,0,0.92955029,100,{'datetime': '20/06/2022 13:18:05'}
firewall,75,1023,1,1018,25,FALSE,1,111,0,1.894654393,100,{'datetime': '20/06/2022 13:19:43'}
firewall,76,1018,1,1019,25,FALSE,1,111,0,2.082300782,100,{'datetime': '20/06/2022 13:21:20'}
firewall,77,1019,0,116,19.25931987,FALSE,2,0,0,2.108347654,80,{'datetime': '20/06/2022 13:22:59'}
firewall,78,116,2,148,20.62832778,FALSE,2,0,0,0.974004984,100,{'datetime': '20/06/2022 13:24:37'}
firewall,79,148,1,1024,20.43925445,FALSE,2,111,0,1.092965126,100,{'datetime': '20/06/2022 13:26:12'}
firewall,80,1024,2,1023,0,FALSE,2,111,0,0.926596522,100,{'datetime': '20/06/2022 13:26:14'}
firewall,81,1023,1,848,20.69134853,FALSE,2,100,0,0.936101437,100,{'datetime': '20/06/2022 13:27:48'}
firewall,82,848,2,848,0,FALSE,2,100,0,0.951327205,100,{'datetime': '20/06/2022 13:27:50'}
firewall,83,848,2,848,0,FALSE,2,100,0,0.969098806,100,{'datetime': '20/06/2022 13:27:52'}
firewall,84,848,2,848,0,FALSE,2,100,0,0.925469637,100,{'datetime': '20/06/2022 13:27:55'}
firewall,85,848,0,986,20,FALSE,1,116,1,4.721525908,80,{'datetime': '20/06/2022 13:29:40'}
firewall,86,986,0,951,20,FALSE,1,111,1,5.322288752,60,{'datetime': '20/06/2022 13:31:25'}
firewall,87,951,0,50,16.25930867,FALSE,4,0,0,0.928737402,40,{'datetime': '20/06/2022 13:33:04'}
firewall,88,50,0,8,20.72231671,FALSE,2,0,0,0.917775154,20,{'datetime': '20/06/2022 13:34:40'}
firewall,89,8,0,9,0,FALSE,2,0,0,1.03105998,20,{'datetime': '20/06/2022 13:34:43'}
firewall,90,9,1,22,9.503178235,FALSE,7,1,0,0.982562423,20,{'datetime': '20/06/2022 13:36:18'}
firewall,91,22,2,36,25,FALSE,1,0,0,0.923465133,40,{'datetime': '20/06/2022 13:37:53'}
firewall,92,36,1,568,20.67678818,FALSE,2,72,0,0.944785357,40,{'datetime': '20/06/2022 13:39:28'}
firewall,93,568,0,177,25,FALSE,1,27,0,1.542145252,20,{'datetime': '20/06/2022 13:41:05'}
firewall,94,177,0,176,0,FALSE,1,27,0,1.007929921,20,{'datetime': '20/06/2022 13:41:07'}
firewall,95,176,2,50,14.07213187,FALSE,5,0,0,0.908100009,40,{'datetime': '20/06/2022 13:42:44'}
firewall,96,50,0,29,2.89289316,FALSE,10,0,0,0.948446751,20,{'datetime': '20/06/2022 13:44:20'}
firewall,97,29,0,29,0,FALSE,10,0,0,1.0036695,20,{'datetime': '20/06/2022 13:44:22'}
firewall,98,29,0,29,0,FALSE,10,0,0,0.973552823,20,{'datetime': '20/06/2022 13:44:24'}
firewall,99,29,1,204,2.778138548,FALSE,10,30,0,1.018605113,20,{'datetime': '20/06/2022 13:45:59'}
firewall,100,204,2,414,7.288695815,FALSE,8,55,0,0.977839231,40,{'datetime': '20/06/2022 13:47:38'}
firewall,101,414,2,435,14.03345846,FALSE,5,42,0,0.930887938,60,{'datetime': '20/06/2022 13:49:13'}
firewall,102,435,0,50,13.97660017,FALSE,5,5,0,0.96494472,40,{'datetime': '20/06/2022 13:50:48'}
firewall,103,50,0,30,2.716474442,FALSE,10,9,0,1.057511926,20,{'datetime': '20/06/2022 13:52:24'}
firewall,104,30,1,204,2.823860451,FALSE,10,34,0,0.99031055,20,{'datetime': '20/06/2022 13:53:59'}
firewall,105,204,1,554,2.917144107,FALSE,10,76,0,0.933976889,20,{'datetime': '20/06/2022 13:55:34'}
firewall,106,554,2,51,13.82038109,FALSE,5,18,0,1.062115073,40,{'datetime': '20/06/2022 13:57:10'}
firewall,107,51,0,15,14.09833338,FALSE,5,0,0,0.892829537,20,{'datetime': '20/06/2022 13:58:46'}
firewall,108,15,2,65,2.712232732,FALSE,10,0,0,1.060220599,40,{'datetime': '20/06/2022 14:00:23'}
firewall,109,65,0,205,2.725212043,FALSE,10,24,0,1.051945567,20,{'datetime': '20/06/2022 14:01:58'}
firewall,110,205,1,554,2.893296475,FALSE,10,64,0,0.948205113,20,{'datetime': '20/06/2022 14:03:32'}
firewall,111,554,0,554,0,FALSE,10,64,0,0.928435445,20,{'datetime': '20/06/2022 14:03:35'}
firewall,112,554,2,940,4.56380126,FALSE,9,101,0,1.314928174,40,{'datetime': '20/06/2022 14:05:10'}
firewall,113,940,2,85,13.91289123,FALSE,5,0,0,1.003917098,60,{'datetime': '20/06/2022 14:06:48'}
firewall,114,85,1,78,20.68956189,FALSE,2,0,0,0.937164664,60,{'datetime': '20/06/2022 14:08:24'}
firewall,115,80,1,436,16.06122275,FALSE,4,50,0,1.050243497,60,{'datetime': '20/06/2022 14:10:04'}
firewall,116,436,2,988,20.73295772,FALSE,2,111,0,0.911522508,80,{'datetime': '20/06/2022 14:11:40'}
firewall,117,988,0,953,20.64636689,FALSE,2,111,0,0.963070512,60,{'datetime': '20/06/2022 14:13:15'}
firewall,118,953,2,982,25,FALSE,1,105,0,1.370865941,80,{'datetime': '20/06/2022 14:14:51'}
firewall,119,982,0,79,17.83719126,FALSE,3,9,0,1.35987854,60,{'datetime': '20/06/2022 14:16:28'}
firewall,120,79,1,78,18.48945185,FALSE,3,0,0,0.924051404,60,{'datetime': '20/06/2022 14:18:04'}
firewall,121,78,2,638,20.65342518,FALSE,2,66,0,0.958810806,80,{'datetime': '20/06/2022 14:19:40'}
firewall,122,638,2,1017,25,FALSE,1,116,0,1.546210527,100,{'datetime': '20/06/2022 14:21:17'}
firewall,123,1017,0,283,25,FALSE,1,27,0,2.025230885,80,{'datetime': '20/06/2022 14:22:58'}
firewall,124,283,2,317,25,FALSE,1,22,0,1.514323831,100,{'datetime': '20/06/2022 14:24:36'}
firewall,125,317,0,114,20.53068185,FALSE,2,0,0,1.034421325,80,{'datetime': '20/06/2022 14:26:13'}
firewall,126,114,0,603,20.58637531,FALSE,2,69,0,0.999704599,60,{'datetime': '20/06/2022 14:27:49'}
firewall,127,603,0,932,9.551056568,FALSE,7,109,0,0.953549147,40,{'datetime': '20/06/2022 14:29:27'}
firewall,128,932,1,575,16.3467386,FALSE,4,61,0,0.877703071,40,{'datetime': '20/06/2022 14:31:03'}
firewall,129,575,2,79,20.10952373,FALSE,2,0,0,1.322222352,60,{'datetime': '20/06/2022 14:32:39'}
firewall,130,429,1,88,14.79862582,FALSE,4,0,0,2.127463937,60,{'datetime': '20/06/2022 14:34:22'}
firewall,131,88,0,43,18.38284939,FALSE,3,0,0,0.98820436,40,{'datetime': '20/06/2022 14:36:02'}
firewall,132,43,0,206,4.199228298,FALSE,9,33,0,1.608280778,20,{'datetime': '20/06/2022 14:37:39'}
firewall,133,206,1,554,2.905875933,FALSE,10,68,0,0.940685272,20,{'datetime': '20/06/2022 14:39:15'}
firewall,134,554,0,554,0,FALSE,10,68,0,0.922121286,20,{'datetime': '20/06/2022 14:39:17'}
firewall,135,554,2,408,9.278480275,FALSE,7,58,0,1.125614643,40,{'datetime': '20/06/2022 14:40:53'}
firewall,136,408,0,29,2.982502616,FALSE,10,1,0,0.895570278,20,{'datetime': '20/06/2022 14:42:30'}
firewall,137,29,2,65,4.329907107,FALSE,9,0,0,1.497336149,40,{'datetime': '20/06/2022 14:44:08'}
firewall,138,65,2,267,9.513328805,FALSE,7,27,0,0.976370692,60,{'datetime': '20/06/2022 14:45:43'}
firewall,139,267,2,988,18.49018843,FALSE,3,111,0,0.92361629,80,{'datetime': '20/06/2022 14:47:19'}
firewall,140,988,0,955,19.51864076,FALSE,2,111,0,1.828765392,60,{'datetime': '20/06/2022 14:48:56'}
firewall,141,955,0,51,13.42107191,FALSE,5,10,0,1.338492751,40,{'datetime': '20/06/2022 14:50:34'}
firewall,142,51,2,85,16.33469419,FALSE,4,0,0,0.884644985,60,{'datetime': '20/06/2022 14:52:12'}
firewall,143,85,1,78,20.60001937,FALSE,2,11,0,0.991304517,60,{'datetime': '20/06/2022 14:53:49'}
firewall,144,78,2,988,20.71732059,FALSE,2,111,0,0.92071867,80,{'datetime': '20/06/2022 14:55:24'}
firewall,145,988,0,953,20.66974593,FALSE,2,111,0,0.949001074,60,{'datetime': '20/06/2022 14:57:02'}
firewall,146,953,0,39,25,FALSE,1,0,0,2.102428794,40,{'datetime': '20/06/2022 14:58:40'}
firewall,147,39,0,24,10.63049182,FALSE,6,0,0,1.828028798,20,{'datetime': '20/06/2022 15:00:20'}
firewall,148,24,2,50,16.21458886,FALSE,4,0,0,0.955433726,40,{'datetime': '20/06/2022 15:01:59'}
firewall,149,50,0,379,2.838046092,FALSE,10,48,0,0.981624961,20,{'datetime': '20/06/2022 15:03:35'}
firewall,150,379,2,407,11.80953902,FALSE,6,46,0,0.931894898,40,{'datetime': '20/06/2022 15:05:12'}
firewall,151,407,2,953,20.72740186,FALSE,2,111,0,0.914784312,60,{'datetime': '20/06/2022 15:06:47'}
firewall,152,953,0,41,20,FALSE,1,11,1,7.48271811,40,{'datetime': '20/06/2022 15:08:35'}
firewall,153,41,2,776,20,FALSE,1,83,1,6.809241772,60,{'datetime': '20/06/2022 15:10:34'}
firewall,154,776,0,57,11.67450297,FALSE,6,0,0,1.013947248,40,{'datetime': '20/06/2022 15:12:22'}
firewall,155,57,1,44,17.96175791,FALSE,3,0,0,1.267739534,40,{'datetime': '20/06/2022 15:13:59'}
firewall,156,44,0,22,9.434604857,FALSE,7,10,0,1.024981022,20,{'datetime': '20/06/2022 15:15:35'}
firewall,157,22,1,9,20.37037361,FALSE,2,0,0,1.138415694,20,{'datetime': '20/06/2022 15:17:11'}
firewall,158,9,1,533,20.61012998,FALSE,2,77,0,0.985105991,20,{'datetime': '20/06/2022 15:18:46'}
firewall,159,533,0,533,0,FALSE,2,77,0,0.898568988,20,{'datetime': '20/06/2022 15:18:48'}
firewall,160,535,0,533,0,FALSE,2,77,0,0.979435682,20,{'datetime': '20/06/2022 15:18:54'}
firewall,161,533,1,877,25,FALSE,1,111,0,1.200467587,20,{'datetime': '20/06/2022 15:20:32'}
firewall,162,877,0,878,0,FALSE,1,111,0,1.841305017,20,{'datetime': '20/06/2022 15:20:36'}
firewall,163,878,0,878,0,FALSE,1,111,0,1.697805643,20,{'datetime': '20/06/2022 15:20:40'}
firewall,164,878,1,3,25,FALSE,1,16,0,1.562480092,20,{'datetime': '20/06/2022 15:22:17'}
firewall,165,3,2,52,12.71180382,FALSE,5,0,0,1.974269152,40,{'datetime': '20/06/2022 15:23:56'}
firewall,166,52,2,79,20.45533677,FALSE,2,11,0,1.08252275,60,{'datetime': '20/06/2022 15:25:34'}
firewall,167,79,2,988,20.72005778,FALSE,2,111,0,0.919105411,80,{'datetime': '20/06/2022 15:27:10'}
firewall,168,988,0,954,20.35169268,FALSE,2,105,0,1.150950432,60,{'datetime': '20/06/2022 15:28:46'}
firewall,169,954,0,46,16.6939559,FALSE,3,11,0,2.565010667,40,{'datetime': '20/06/2022 15:30:25'}
firewall,170,46,0,184,18.1710908,FALSE,3,27,0,1.123146534,20,{'datetime': '20/06/2022 15:32:05'}
firewall,171,184,0,186,0,FALSE,3,27,0,2.219796777,20,{'datetime': '20/06/2022 15:32:10'}
firewall,172,186,0,185,0,FALSE,3,27,0,1.675416589,20,{'datetime': '20/06/2022 15:32:15'}
firewall,173,185,0,715,0,FALSE,5,87,0,0.956228733,20,{'datetime': '20/06/2022 15:32:17'}
firewall,174,715,2,66,5.961760965,FALSE,8,0,0,2.066990614,40,{'datetime': '20/06/2022 15:33:56'}
firewall,175,220,1,58,9.409294583,FALSE,7,0,0,1.040903687,40,{'datetime': '20/06/2022 15:35:38'}
firewall,176,58,0,204,2.917293777,FALSE,10,28,0,0.933887959,20,{'datetime': '20/06/2022 15:37:13'}
firewall,177,204,1,379,2.839793149,FALSE,10,53,0,0.980558276,20,{'datetime': '20/06/2022 15:38:49'}
firewall,178,379,2,583,9.091081942,FALSE,7,71,0,1.25466907,40,{'datetime': '20/06/2022 15:40:25'}
firewall,179,583,1,50,14.10243523,FALSE,5,2,0,0.890451074,40,{'datetime': '20/06/2022 15:42:00'}
firewall,180,50,0,30,2.744325106,FALSE,10,0,0,1.0398314,20,{'datetime': '20/06/2022 15:43:36'}
firewall,181,30,1,204,2.771846451,FALSE,10,31,0,1.022535324,20,{'datetime': '20/06/2022 15:45:12'}
firewall,182,204,1,554,2.870730857,FALSE,10,62,0,0.961776853,20,{'datetime': '20/06/2022 15:46:48'}
firewall,183,554,2,407,11.81285862,FALSE,6,48,0,0.929925919,40,{'datetime': '20/06/2022 15:48:23'}
firewall,184,407,0,29,2.992962363,FALSE,10,3,0,0.889502048,20,{'datetime': '20/06/2022 15:49:59'}
firewall,185,29,2,50,14.01023356,FALSE,5,0,0,0.944718361,40,{'datetime': '20/06/2022 15:51:34'}
firewall,186,50,0,23,11.57390649,FALSE,6,6,0,1.077701092,20,{'datetime': '20/06/2022 15:53:11'}
firewall,187,23,0,22,0,FALSE,6,6,0,0.915456533,20,{'datetime': '20/06/2022 15:53:13'}
firewall,188,22,2,919,19.83811575,FALSE,2,111,0,1.536717653,40,{'datetime': '20/06/2022 15:54:49'}
firewall,189,919,0,884,19.83717693,FALSE,2,111,0,1.537507653,20,{'datetime': '20/06/2022 15:56:27'}
firewall,190,193,2,50,14.12668536,FALSE,5,0,0,0.876455903,40,{'datetime': '20/06/2022 16:09:43'}
firewall,191,50,2,92,11.70409485,FALSE,6,10,0,0.99563098,60,{'datetime': '20/06/2022 16:11:18'}
firewall,192,92,0,218,18.46922129,FALSE,3,38,0,0.936044931,40,{'datetime': '20/06/2022 16:12:53'}
firewall,193,218,0,890,13.9535642,FALSE,5,111,0,0.97893548,20,{'datetime': '20/06/2022 16:14:29'}
firewall,194,890,0,890,0,FALSE,5,111,0,0.962349057,20,{'datetime': '20/06/2022 16:14:31'}
firewall,195,890,1,555,7.15880299,FALSE,8,63,0,1.058862567,20,{'datetime': '20/06/2022 16:16:06'}
firewall,196,555,2,51,13.87547296,FALSE,5,1,0,1.027222037,40,{'datetime': '20/06/2022 16:17:43'}
firewall,197,51,2,555,2.702172701,FALSE,10,61,0,1.066661716,20,{'datetime': '20/06/2022 16:19:20'}
firewall,198,555,2,743,18.48603089,TRUE,3,83,0,0.92607367,40,{'datetime': '20/06/2022 16:20:56'}
firewall,199,743,2,953,20.61758186,FALSE,2,111,0,0.9805516,60,{'datetime': '20/06/2022 16:22:34'}
firewall,200,953,0,919,17.69259741,FALSE,3,111,0,1.473359942,40,{'datetime': '20/06/2022 16:24:11'}
firewall,201,919,0,29,5.135062481,FALSE,9,8,0,0.936536074,20,{'datetime': '20/06/2022 16:25:49'}
firewall,202,29,2,58,9.303244015,FALSE,7,0,0,1.109257579,40,{'datetime': '20/06/2022 16:27:25'}
firewall,203,58,0,205,2.642731954,FALSE,10,21,0,1.105216146,20,{'datetime': '20/06/2022 16:29:03'}
firewall,204,205,1,554,2.921999064,FALSE,10,68,0,0.931094527,20,{'datetime': '20/06/2022 16:30:38'}
firewall,205,554,0,29,0,FALSE,10,17,0,0.90551734,20,{'datetime': '20/06/2022 16:30:41'}
firewall,206,29,2,575,14.02967519,FALSE,5,62,0,0.933133364,40,{'datetime': '20/06/2022 16:32:15'}
firewall,207,575,2,261,13.85831072,FALSE,5,28,0,1.038016796,60,{'datetime': '20/06/2022 16:33:52'}
firewall,208,261,0,65,7.184038528,FALSE,8,0,0,1.042822123,40,{'datetime': '20/06/2022 16:35:27'}
firewall,209,65,2,86,13.80244137,FALSE,5,0,0,1.073630691,60,{'datetime': '20/06/2022 16:37:03'}
firewall,210,86,0,744,18.29287473,FALSE,3,83,0,1.044262052,40,{'datetime': '20/06/2022 16:38:39'}
firewall,211,744,0,204,2.86195752,FALSE,10,39,0,0.967082262,20,{'datetime': '20/06/2022 16:40:16'}
firewall,212,204,0,204,0,FALSE,10,39,0,0.9042418,20,{'datetime': '20/06/2022 16:40:18'}
firewall,213,204,1,365,14.05157716,FALSE,5,40,0,0.92017436,20,{'datetime': '20/06/2022 16:41:52'}
